#;Проект;Трекер;Статус;Приоритет;Тема;Назначена;Обновлено;Описание
22515;QA31-2023;Ошибка;Новая;Нормальный;Нет возможности сменить локализацию в подменю на странице Тир и стрилецкий клуб;"";12.03.2024 14:31;"*Шаги воспроизведения*
1) Открыть главную страницу сайта
2) Перейти в хедере сайта на вкладку Тир и стрилецкий клуб https://ibis-club.com.ua/

*Ожидаемый результат*
 Есть возможность сменить локализацию

*Фактический результат""
Сменить локализацию сайта невозможно

https://gyazo.com/9af982e49bc5211a521227c38545479c

"
22514;QA31-2023;Ошибка;Новая;Нормальный;Не работает стрелка пролистывания в разделе Каталок зброї/Вогнепальна зброя;Vika Zhukova;12.03.2024 14:25;"*Шаги воспроизведения*

1) Открыть главную страницу сайта
2) Перейти в главном меню в раздел Каталог зброї
3) Открыть вкладку Вогнепальна зброя
4) Пролистать стрелочками  доступные виды товаров

*Ожидаемый результат*

При нажатии стрелочек вправо/влево будут показаны товары

*Фактический результат*

Товар не пролистываюся и не отображаются все доступные виды оружия

https://gyazo.com/f4639f1675de4ca1834069298c383d7f



"
22512;QA31-2023;Ошибка;Новая;Нормальный;"Меняется локализация при переходе на вкладку ""В магазин""";Vika Zhukova;12.03.2024 14:02;"*Шаги воспроизведения*
1) Открыть главную страницу сайта в русской локализации
2) Перейти в раздел Программы лояльности
3) Нажать на кнопку ""В магазин""

*Ожидаемый результат*
Откроется страница магазина в русской локализации

*Фактический результат*
Открывается страница магазина в украинской локализации  

https://gyazo.com/1f10364be2a5b5a72bf24de153e501e9"
22510;QA31-2023;Ошибка;Новая;Нормальный;Не отображается публичная и финансовая отчестность в разделе Деятельность компании;Vika Zhukova;12.03.2024 13:46;"*Шаги воспроизведения*
1) Открыть главную страницу сайта
2) В футере сайта перейти в подкаталог Публичная отчетность в подразделе Деятельность компании
3) Просмотреть документы отчетности

*Ожидаемый результат*
Отображение финансовых документов

*Фактический результат*
Документы не отображаются

https://gyazo.com/62f6ba7ce422a331adc1cc8b489cdb36
"
22509;QA31-2023;Ошибка;Новая;Нормальный;Повреждено/не воспроизводится видео на сайте Ibis в Днепре;Vika Zhukova;12.03.2024 13:21;"*Шаги воспроизведения*
1) Зайти на главную страницу сайта
2) В хедере сайта перейти на вкладку Днепр
3) Перейти в меню сайта (в правом верхнем углу) на вкладку ""Про нас""
4) Воспроизвести видеопрезентацию.

*Ожидаемый результат*
Видео будет воспроизводиться

*Фактический результат*
Видео не воспроизводится. Отображается значок поврежденного файла
https://gyazo.com/57b70203307b908b82478435fb29aedd"
22518;QA31-2023;Ошибка;Новая;Низкий;Вкладка Сервисные услуги/Программа релойдинга отображается на укр языке при русской локализации;Vika Zhukova;12.03.2024 15:00;"*Шаги воспроизведения*
1) Открыть главную страницу сайта в русской локализации
2) Перейти в хедере на вкладку Сервисные услуги
3) Выбрать а открытом меню Программа релойдинга 

*Ожидаемый результат*
Открытая страница отображается на русском языке

*Фактический результат*
 Текст отображается на украинском языке при русской локализации

https://gyazo.com/eceee102621999d68abe28141ca2ca87


"
22517;QA31-2023;Ошибка;Новая;Низкий;Отсутствует текст при наведении курсором на Способах доставки;Vika Zhukova;12.03.2024 14:50;"*Шаги воспроизведения*

1) Открыть главную страницу сайта
2) Открыть любой товар из каталога товаров
3) Просмотреть способы доставки
4) Навести курсором на каждый из возможных вариантов доставки

*Ожидаемый результат*
При наведении курсором во всплывающем окне появляется текст 

*Фактический результат*
При наведении курсором на варианты ""Новая почта доставка на отделение"" и ""Самовывоз через дилера"" появляется пустое окно

https://gyazo.com/d990c4caf75cb6753a3b46ed29dc198c
"
22516;QA31-2023;Ошибка;Новая;Низкий;Вкладка Мастерская оружейная отображается на украинском языке при рус локализации;Vika Zhukova;12.03.2024 14:38;"*Шаги воспроизведения*
1) Открыть главную страницу сайта в русской локализации
2) Перейти в хедере на вкладку Сервисные услуги/Мастерская оружейная
3) Просмотреть открывшуюся страницу

*Ожидаемый результат*

Станица отображается на русском языке

*Фактический результат*
Страница на украинском языке при русской локализации

https://gyazo.com/71a4ca2280fbf8076d1fca585f5781b9"
22513;QA31-2023;Ошибка;Новая;Низкий;Некорректное визуальное отображение вкладок в разделе Корпоративи/Вартість;Vika Zhukova;12.03.2024 14:16;"*Шаги воспроизведения*
1)Открыть главную страницу сайта
2) Перейти в главном меню в подразделы Вартість
3) Перейти в подраздел Корпоративи
4) Проскролить вниз страницы
5) Просмотреть отображение вкладок : ""Оренда галерей"" та ""Робота інструкторів""

*Ожидаемый результат*
Вкладки белого цвета и окрашиваются в черный цвет при наведение курсором

*Фактический результат*

Вкладки ""Оренда галерей"" и ""Робота інструкторів"" окрашены в черный цвет

https://gyazo.com/ad510879c984a2254f45c5cf8f7caab6"
22511;QA31-2023;Ошибка;Новая;Низкий;Пользовательское соглашение отображается на украинском языке при русской локализации ;Vika Zhukova;12.03.2024 13:51;"*Шаги воспроизведения*
1) Открыть главную страницу сайта в русской локализации
2) Перейти в футере в раздел Пользовательское соглашение
3) Просмотреть Пользовательское соглашение

*Ожидаемый результат*
Пользовательское соглашение отображается на русском языке

* Фактический результат*
Польз. соглашение отображается на украинском языке

https://gyazo.com/bc55c8beb83c4bf54b3249492528f80b
"
